"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.662250002E-3,2.597250175E1,-4.042032242E1,-7.759086609E0,4.866802582E1
1.670225000E-2,2.595005608E1,-4.032631302E1,-7.617568970E0,4.855557938E1
2.674125000E-2,2.599911308E1,-4.031771851E1,-7.513923645E0,4.855853535E1
3.678025000E-2,2.588924408E1,-4.029087830E1,-7.517906189E0,4.847810585E1
4.681925000E-2,2.597132492E1,-4.020648956E1,-7.574691772E0,4.846078287E1
5.685825001E-2,2.594899178E1,-4.026786804E1,-7.569335938E0,4.849893006E1
6.689725000E-2,2.612205124E1,-4.019582367E1,-7.473495483E0,4.851720248E1
7.693725000E-2,2.600720596E1,-4.022181320E1,-7.556198120E0,4.848984584E1
8.697625000E-2,2.596179199E1,-4.015407562E1,-7.137702942E0,4.834574682E1
9.701525000E-2,2.596757698E1,-4.024194717E1,-7.470237732E0,4.847199004E1
1.070542500E-1,2.604267693E1,-4.024776459E1,-7.267120361E0,4.848623118E1
1.170932500E-1,2.597272682E1,-4.026744461E1,-7.381393433E0,4.848231227E1
1.271325000E-1,2.617284203E1,-4.015811157E1,-7.184013367E0,4.846959493E1
1.371715000E-1,2.605624199E1,-4.017840576E1,-7.159202576E0,4.841989485E1
1.472115000E-1,2.602256584E1,-4.005625916E1,-7.085517883E0,4.828956817E1
1.572505000E-1,2.599405289E1,-4.022592926E1,-7.208854675E0,4.843329182E1
1.672895000E-1,2.601231194E1,-4.012182236E1,-7.217422485E0,4.835795890E1
1.773285000E-1,2.604809380E1,-4.028553391E1,-7.383010864E0,4.853798803E1
1.873675000E-1,2.618535233E1,-4.017657471E1,-7.177795410E0,4.849072673E1
1.974065000E-1,2.608098030E1,-4.014367676E1,-7.322700500E0,4.842885772E1
2.074455000E-1,2.622893333E1,-4.015370178E1,-7.129058838E0,4.848814485E1
2.174855000E-1,2.616633606E1,-4.023389435E1,-7.348594666E0,4.855352964E1
2.275245000E-1,2.623882866E1,-4.025232697E1,-7.278381348E0,4.859733316E1
2.375635000E-1,2.606614876E1,-4.027856445E1,-7.442947388E0,4.855104871E1
2.476025000E-1,2.621576118E1,-4.016333771E1,-7.355834961E0,4.852286202E1
2.576415000E-1,2.603197670E1,-4.033366776E1,-7.518707275E0,4.859011756E1
2.676805000E-1,2.614856148E1,-4.023632050E1,-7.262207031E0,4.853296205E1
2.777195000E-1,2.592497826E1,-4.022386169E1,-7.382736206E0,4.842074288E1
2.877585000E-1,2.603750610E1,-4.011720276E1,-7.353576660E0,4.838818834E1
2.977985000E-1,2.602525711E1,-4.012837219E1,-7.399459839E0,4.839785396E1
3.078375000E-1,2.612137985E1,-4.013711929E1,-7.327781677E0,4.844596180E1
3.178765000E-1,2.612246132E1,-4.017413712E1,-7.374588013E0,4.848431526E1
3.279155000E-1,2.612025833E1,-4.018053436E1,-7.131645203E0,4.845207529E1
3.379545000E-1,2.606402588E1,-4.031085587E1,-7.475608826E0,4.858171748E1
3.479935000E-1,2.620265770E1,-4.022624588E1,-7.356590271E0,4.856798893E1
3.580335000E-1,2.620272636E1,-4.022728348E1,-7.356346130E0,4.856884838E1
3.680725000E-1,2.606289864E1,-4.014653778E1,-7.235038757E0,4.840831506E1
3.781115000E-1,2.609106445E1,-4.003152466E1,-7.236968994E0,4.832846295E1
3.881505000E-1,2.592542839E1,-4.018682861E1,-7.673469543E0,4.843543296E1
3.981895000E-1,2.598770905E1,-4.017844772E1,-7.724548340E0,4.846996317E1
4.082285000E-1,2.591001892E1,-4.013165665E1,-7.803192139E0,4.840215649E1
4.182675000E-1,2.588185883E1,-3.992449188E1,-7.347343445E0,4.814373401E1
4.283075000E-1,2.584328079E1,-4.006317520E1,-7.540832520E0,4.826797411E1
4.383465000E-1,2.610909843E1,-4.014412689E1,-7.268661499E0,4.843624041E1
4.483855000E-1,2.601613235E1,-4.006466675E1,-7.456932068E0,4.834896586E1
